area;nr_of_rooms;tier;parking;year_of_construction;district_id;price
34.800000;2;5;0;2015;8;212280.000000
52.000000;2;1;0;1997;1;420000.000000
59.000000;3;1;0;1980;2;299000.000000
69.000000;3;3;0;2010;5;485000.000000
68.130000;3;7;0;2015;4;3000.000000
43.830000;2;1;0;2008;13;249831.000000
53.500000;2;4;0;2001;10;295000.000000
85.000000;3;3;0;2004;2;100000.000000
58.100000;3;0;0;2016;4;366030.000000
46.300000;3;7;0;2015;6;245390.000000
90.000000;4;1;0;2015;4;579000.000000
46.000000;2;4;0;1981;9;227000.000000
49.000000;2;3;1;1937;12;480000.000000
43.000000;2;2;0;2015;8;325000.000000
23.170000;1;1;0;2017;8;243000.000000
54.100000;2;2;0;1990;6;340000.000000
63.000000;3;0;0;1965;7;295000.000000
65.400000;3;0;0;2001;13;123000.000000
37.000000;2;7;0;1980;11;225000.000000
40.000000;4;3;0;1970;1;369000.000000
38.000000;1;3;0;1960;7;183000.000000
54.000000;3;3;0;1980;11;295000.000000
47.000000;2;3;0;1950;7;225000.000000
38.800000;2;3;0;2012;11;335000.000000
50.270000;2;1;0;2016;4;377025.000000
63.000000;3;11;0;1987;11;380000.000000
43.600000;2;0;0;2015;5;401000.000000
73.000000;4;3;1;2001;10;540000.000000
167.920000;2;1;0;2015;1;909936.000000
43.620000;2;0;0;2015;5;401304.000000
52.000000;2;4;0;2015;16;468000.000000
47.000000;2;3;0;2008;3;380000.000000
30.000000;2;3;1;2010;5;215000.000000
50.000000;2;3;0;2001;10;260000.000000
70.770000;3;1;0;2008;13;397549.000000
58.260000;3;10;0;2006;3;414000.000000
108.000000;4;3;1;2002;15;630000.000000
44.000000;3;4;0;1980;11;260000.000000
39.710000;2;0;0;2015;8;3000.000000
56.650000;4;0;0;1976;9;265000.000000
48.500000;2;3;0;1959;7;236000.000000
94.000000;4;1;0;2015;8;600660.000000
54.000000;2;4;0;1990;6;269000.000000
26.280000;1;3;0;2017;12;228636.000000
50.000000;2;0;0;2008;3;379000.000000
60.200000;3;4;0;1980;8;265000.000000
35.000000;2;2;0;1971;9;195000.000000
62.140000;3;1;0;2001;10;397000.000000
50.000000;2;1;0;2015;8;370000.000000
133.000000;4;2;1;1997;1;1529000.000000
38.550000;2;0;0;2001;10;259866.000000
53.000000;2;3;0;1960;11;300000.000000
54.000000;3;4;0;1990;6;365000.000000
51.000000;2;5;0;2001;10;262000.000000
31.000000;1;4;0;2007;14;208303.000000
50.000000;3;4;0;2007;14;318000.000000
51.000000;2;0;0;2001;8;119000.000000
75.000000;3;2;0;1997;1;580000.000000
51.200000;3;1;0;1978;9;280000.000000
65.500000;3;2;0;2001;10;530000.000000
68.360000;3;3;0;2008;3;464000.000000
53.100000;3;3;0;2015;8;398250.000000
62.500000;3;0;0;2001;10;435000.000000
49.300000;2;0;0;2001;3;90000.000000
60.000000;3;3;0;2008;3;330000.000000
48.000000;2;3;1;2015;8;260900.000000
32.650000;1;0;0;2004;14;209000.000000
82.000000;4;1;0;1980;11;586300.000000
22.000000;2;3;1;2008;3;249000.000000
49.000000;2;1;0;2003;3;418000.000000
52.000000;2;3;0;1970;0;339000.000000
74.000000;3;5;0;1997;1;600000.000000
58.000000;4;3;0;2008;3;369000.000000
33.730000;1;2;0;1895;12;319000.000000
35.000000;1;3;0;2002;15;199900.000000
48.310000;2;3;0;1960;7;228000.000000
81.000000;3;1;0;2015;8;620000.000000
48.000000;2;3;1;2015;8;252900.000000
47.300000;2;1;0;1990;6;231770.000000
51.000000;2;4;0;2007;14;252000.000000
32.000000;2;4;0;1981;9;144000.000000
59.000000;3;3;0;2004;2;340000.000000
80.800000;4;4;0;2007;14;347000.000000
65.000000;4;3;1;2008;3;438036.000000
57.000000;3;3;1;2015;4;468180.000000
82.000000;2;4;0;2015;16;1005200.000000
150.000000;4;3;0;1910;12;899000.000000
28.670000;1;6;0;2017;6;160552.000000
48.000000;2;0;0;2012;9;335000.000000
92.000000;4;3;0;2010;5;599000.000000
83.000000;3;3;0;1937;12;850000.000000
53.500000;3;4;0;1980;11;335000.000000
43.910000;2;1;0;2015;4;393872.700000
99.700000;5;1;0;1942;5;680000.000000
27.170000;1;1;0;2016;8;179322.000000
30.000000;2;3;0;2008;3;185000.000000
